Factor,Scale_param
Factor1,0.192275033496834
Factor2,0.0214339991971434
Factor3,0.0312797324890106
Factor4,0
Factor5,0.0333998850555237
Factor6,1.38007941241636e-06
Factor7,0.0508188302039477
Factor8,0.0184632211194983
Factor9,0
Factor10,0.0223294184941324
