"",1,2,Acetic acid,Propionic acid,Isobutyric acid,Butyric acid,2-Methylbutyric acid,Isovaleric acid,Valeric acid,Hexanoic acid,Lactic acid,Desaminotyrosine,Indole-3-carboxyaldehyde
R-BE-4,control,2,2.25475,0.13825,0.1825,0.08075,6.45162e-05,0.021,0.0055,0.0005294118,1.93775,0.0015294118,0.000120482
R-BE-6,control,4,107.009687,0.6221875,0.37875,0.0946875,0.0778125,0.2046875,3.37078e-05,0.0005294118,17.1896875,0.0015294118,0.000120482
R-BE-7,control,5,57.674242,15.80166667,4.0669697,3.919090909,2.011969697,2.803333333,3.196969697,0.0005294118,0.0364285714,0.192424242,0.000120482
M-AC-1,GVHD,-1,259.97,126.61,8.06,63.34,4.05,7.08,24.15,8.21,0.0364285714,0.0015294118,0.08
M-AC-2,GVHD,0,300.59,72.16,7.3,3.3,3.71,5.63,2.13,11.06,0.7,0.09,0.03
M-AC-3,GVHD,1,25.57,1.47,0.001,0.001,6.45162e-05,0.001,3.37078e-05,0.0005294118,4.49,0.0015294118,0.000120482
M-AC-4,GVHD,4,69.2,0.34,0.001,0.63,6.45162e-05,0.001,3.37078e-05,0.0005294118,489.2,0.0015294118,0.000120482
M-AC-5,GVHD,5,203.64,0.73,0.001,0.001,6.45162e-05,0.001,3.37078e-05,0.0005294118,144.55,0.0015294118,0.000120482
M-AC-6,GVHD,5,321.27,0.61,0.46,0.25,0.05,2.94,3.37078e-05,0.0005294118,209.19,0.0015294118,0.000120482
M-AC-7,GVHD,5,146.9,0.97,0.001,0.05,6.45162e-05,0.001,3.37078e-05,0.0005294118,992.13,0.0015294118,0.000120482
M-AC-8,GVHD,5,78.43,0.36,0.04,0.001,6.45162e-05,0.49,3.37078e-05,0.0005294118,496.77,0.0015294118,0.000120482
M-AE-1,GVHD,-1,83.338571,31.98553571,1.67821429,4.37,0.66625,0.819642857,0.131071429,0.0005294118,0.0364285714,0.242678571,0.013928571
M-AE-2,GVHD,0,122.487241,34.08896552,8.58586207,1.739310345,5.306896552,5.566551724,2.390344828,0.0005294118,0.0364285714,0.057931034,0.128965517
M-AE-3,GVHD,1,72.945135,20.9927027,2.51216216,1.249189189,1.257567568,1.368648649,0.044324324,0.0005294118,5.281081081,0.034864865,0.01972973
M-AE-4,GVHD,2,92.25,28.87487179,2.69282051,1.830512821,1.202051282,1.308974359,0.131282051,0.0005294118,0.0364285714,0.157179487,0.024102564
M-AH-1,GVHD,-1,267.8,193.8309375,4.6221875,79.95375,3.1684375,3.1659375,1.993125,0.0005294118,0.0364285714,0.3196875,0.0778125
M-AH-2,GVHD,1,6.628214,0.47392857,0.61642857,0.121785714,0.241785714,0.026071429,0.01,0.0005294118,0.396071429,0.0015294118,0.000120482
M-AH-3,GVHD,2,2.355286,0.15314286,0.20785714,0.055142857,0.086428571,0.011,0.006571429,0.0005294118,0.182142857,0.0015294118,0.000120482
M-AH-4,GVHD,3,13.081667,0.542,0.45433333,0.106333333,0.189333333,0.018333333,0.014666667,0.0005294118,24.08333333,0.0015294118,0.000120482
M-AH-5,GVHD,4,112.84075,3.85075,4.72425,0.001,2.198,2.49575,0.01175,0.0005294118,39.95075,0.0015294118,0.014
M-AI-1,GVHD,-2,1026.914348,433.4030435,63.00521739,268.7447826,42.17608696,47.53869565,15.07,0.326956522,0.0364285714,0.653913043,0.446956522
M-AI-2,GVHD,-1,407.219706,40.68117647,15.15323529,97.66764706,9.878823529,13.17882353,0.879117647,0.002647059,0.615588235,0.419117647,0.058529412
