feature,factor,value,view,sign,feature_id
VC_117_5,Factor4,2.67771201336853,virome,-,VC_117_5
VC_117_2,Factor4,2.61000924851663,virome,-,VC_117_2
VC_612_0,Factor4,2.19303204748213,virome,-,VC_612_0
VC_390_0,Factor4,2.14822415272707,virome,-,VC_390_0
VC_611_1,Factor4,2.12120027174383,virome,-,VC_611_1
VC_502_1,Factor4,2.11678518324244,virome,-,VC_502_1
VC_122_0,Factor4,2.10224611378129,virome,-,VC_122_0
VC_241_3,Factor4,1.99547767932779,virome,-,VC_241_3
G23J_7937V__8187,Factor4,1.93924310846174,virome,-,G23J_7937V__8187
VC_385_0,Factor4,1.92570114928903,virome,-,VC_385_0
VC_117_7,Factor4,1.87250222091408,virome,-,VC_117_7
VC_1254_0,Factor4,1.86668166668759,virome,-,VC_1254_0
VC_470_0,Factor4,1.84429628302712,virome,-,VC_470_0
VC_470_1,Factor4,1.8300546748798,virome,-,VC_470_1
VC_191_0,Factor4,1.823273964234,virome,-,VC_191_0
