"","corr_coefs","p_vals","p_vals_adjusted"
"Factor1_ITS_otu1003",-0.140611228567672,0.0301123730217668,0.0658843019408206
"Factor1_ITS_otu217",-0.123302096785329,0.057505121117516,0.113504384133834
"Factor1_ITS_otu1512_ITS",-0.0801978918286985,0.217685655663908,0.328256147429703
"Factor1_ITS_otu840",-0.134402765577131,0.0382693083111462,0.0798704441156142
"Factor1_ITS_otu7_ITS",0.232687369224228,0.000293863905640767,0.00123973835192199
"Factor1_ITS_otu990",-0.00931265723738631,0.886357007855132,0.936586567693408
"Factor1_ITS_otu1063",-0.150186544041328,0.0204531697215285,0.0477799456609478
"Factor1_ITS_otu832",-0.106694616441138,0.100584037012165,0.178705289797431
"Factor1_ITS_otu147",-0.107471631803236,0.0981160230864792,0.175500417863891
"Factor1_ITS_otu323",-0.0970289828777477,0.135559421031093,0.224328977383712
"Factor1_ITS_otu669",0.0200131533562376,0.758726801584455,0.841753566636734
"Factor1_ITS_otu110",-0.120447025100942,0.0635758527562231,0.123259306364106
"Factor1_ITS_otu54_ITS",-0.103193536938917,0.112319654627578,0.193246739930016
"Factor1_ITS_otu222",-0.126917607735367,0.0505127264385018,0.101222768214654
"Factor1_ITS_otu329",-0.127513711789564,0.0494308053470436,0.099365216077717
"Factor1_ITS_otu118_ITS",-0.0808355760659315,0.214037647216434,0.324280310165477
"Factor1_ITS_otu715",-0.098474169701371,0.129804960477049,0.216060820002357
"Factor1_ITS_otu805",0.00339745571491858,0.958419056334904,0.971677817983805
"Factor1_ITS_otu332",-0.132117445694107,0.0417088947338165,0.0855182374038684
"Factor1_ITS_otu508",-0.121424970223582,0.0614397896488126,0.119751565690885
"Factor1_ITS_otu428",-0.0897684367200293,0.167470517409961,0.264508545047137
"Factor1_ITS_otu187",0.106557788519167,0.101023687495975,0.179077925658034
"Factor1_ITS_otu26_ITS",0.213988877372234,0.000892312383596262,0.0032890171447947
"Factor1_ITS_otu263",-0.053161058836252,0.414277972358519,0.543541176010027
"Factor1_ITS_otu100",-0.0856909943711714,0.187690910363101,0.290892558961544
"Factor1_ITS_otu748",-0.10960806179635,0.0915773626565342,0.16565298675177
"Factor1_ITS_otu4",0.210874250629658,0.001064260837822,0.00384482964649777
"Factor1_ITS_otu313",-0.0965396730200554,0.13755150289289,0.226809752252432
"Factor1_ITS_otu169",-0.122097669005032,0.0600050106415783,0.117580483037164
"Factor1_ITS_otu425",-0.0936179326914899,0.14991627180303,0.242303237035143
"Factor1_ITS_otu161",0.176665074775019,0.00628301673476342,0.0180671949828119
"Factor1_ITS_otu10",0.173130222268133,0.00742608380645475,0.0207946560737516
"Factor1_ITS_otu1181_ITS",-0.0996668238339857,0.125199506481268,0.21030565430547
"Factor1_ITS_otu358",0.106666539162809,0.1006741301198,0.178705289797431
"Factor1_ITS_otu379",-0.0629212931972014,0.333769067158424,0.458798315788509
"Factor1_ITS_otu75_ITS",-0.0675534133386693,0.299334057569365,0.422095578705565
"Factor1_ITS_otu336",-0.112520586511825,0.0832292041942999,0.153567229647818
"Factor1_ITS_otu1049",-0.0168693275684121,0.795715812079183,0.870367188905375
"Factor1_ITS_otu292",-0.117963495909012,0.0692755082041756,0.132112772151458
"Factor1_ITS_otu794",0.0376221588287926,0.563564476395737,0.685416255075897
"Factor1_ITS_otu783",-0.000416866222750548,0.994895775468805,0.996911505552146
"Factor1_ITS_otu114_ITS",-0.118861449818987,0.0671683926001303,0.129107905375292
"Factor1_ITS_otu1",0.165321345859351,0.0106301204998652,0.0279367408628629
"Factor1_ITS_otu905",-0.105139819666501,0.105669934577649,0.184423267828653
"Factor1_ITS_otu305",-0.0555129500014186,0.393902875530581,0.521856547766019
"Factor1_ITS_otu474",0.031305250615063,0.630851277296155,0.741243026232084
"Factor1_ITS_otu779",-0.0113600134351749,0.861600862751114,0.919890595324603
"Factor1_ITS_otu719",0.0899472261406091,0.166622644070047,0.263493885351214
"Factor1_ITS_otu337",-0.0637107754249988,0.327727276058111,0.453409095517289
"Factor1_ITS_otu1019",-0.0920370022736898,0.156948847994596,0.251608621941336
"Factor1_ITS_otu172",-0.0890594714127443,0.170864362590384,0.269037185865872
"Factor1_ITS_otu644",-0.0291638923295893,0.654409343560272,0.761942789937402
"Factor1_ITS_otu13",0.133429515574947,0.0397036640193479,0.0822914088054401
"Factor1_ITS_otu732",-0.0816604325899027,0.209384156316913,0.318547070553311
"Factor1_ITS_otu581_ITS",-0.0806715277569282,0.214971907240621,0.324736715001292
"Factor1_ITS_otu31_ITS",-0.0530190255438428,0.415527961798081,0.544345874367762
"Factor1_ITS_otu276",-0.0544807307004178,0.402770018853345,0.530069316756711
"Factor1_ITS_otu583",-0.000624633997561259,0.99235187431076,0.996276600239765
"Factor1_ITS_otu177",0.000694979232511964,0.991490586007636,0.996150941288518
"Factor1_ITS_otu320",0.0217502326490016,0.738516034033259,0.829014205802582
"Factor1_ITS_otu483",-0.0788882781858331,0.225316378969497,0.337777038022653
"Factor1_ITS_otu970",-0.0894794337909283,0.168847860166775,0.266192231916274
"Factor1_ITS_otu876",-0.0623064746834822,0.338523307460902,0.462504014047974
"Factor1_ITS_otu96",-0.0549194769425665,0.398986592836214,0.526439855672034
"Factor1_ITS_otu20_ITS",0.0928008441384215,0.153520573261825,0.247349416090817
"Factor1_ITS_otu210",-0.0573070760244383,0.378772914084134,0.506280627736219
"Factor1_ITS_otu76",0.0205895704191712,0.75200129300209,0.838028691574023
"Factor1_ITS_otu49",0.111277185786656,0.0867150009149324,0.158822600101439
"Factor1_ITS_otu506",0.0232712728816726,0.72096457858619,0.815376606734381
"Factor1_ITS_otu22",0.0702428881933289,0.280461619142273,0.399657807277739
"Factor1_ITS_otu98",-0.0342564736989742,0.598988862665222,0.715939623828655
"Factor1_ITS_otu250",0.0911382222634573,0.161056232520199,0.256589587834975
"Factor1_ITS_otu57",0.0583690553850701,0.369987016704425,0.497388206418685
"Factor1_ITS_otu454",0.0285739026999646,0.660961945199295,0.767111949313788
"Factor1_ITS_otu106",0.0754438780975231,0.246286301951263,0.361605245852884
"Factor1_ITS_otu282",-0.0253732371417988,0.696949884374639,0.795937868842809
"Factor1_ITS_otu102",-0.0938995768098721,0.148688875207068,0.240774599056899
"Factor1_ITS_otu579",-0.0415188908984415,0.523848088362802,0.648802678247507
"Factor1_ITS_otu159",0.0906343431158027,0.163393956918302,0.2594162963441
"Factor1_ITS_otu585",0.0284174338702289,0.662704101536976,0.76811388180856
"Factor1_ITS_otu2",-0.0176259528810002,0.786768416836682,0.864636242153423
