amp_Timepoint,Factor1_median,Factor1_q25,Factor1_q75,Factor1_mean,Factor1_sd,Factor2_median,Factor2_q25,Factor2_q75,Factor2_mean,Factor2_sd,Factor3_median,Factor3_q25,Factor3_q75,Factor3_mean,Factor3_sd,Factor4_median,Factor4_q25,Factor4_q75,Factor4_mean,Factor4_sd,Factor5_median,Factor5_q25,Factor5_q75,Factor5_mean,Factor5_sd,Factor6_median,Factor6_q25,Factor6_q75,Factor6_mean,Factor6_sd,Factor7_median,Factor7_q25,Factor7_q75,Factor7_mean,Factor7_sd,Factor8_median,Factor8_q25,Factor8_q75,Factor8_mean,Factor8_sd,Factor9_median,Factor9_q25,Factor9_q75,Factor9_mean,Factor9_sd,Factor10_median,Factor10_q25,Factor10_q75,Factor10_mean,Factor10_sd
COND,1.00307905196577,0.343667621883857,1.61349279969696,0.940679096828455,0.965769980070787,-0.182906649594326,-0.680785176191479,0.157360032203777,-0.125568162150788,1.10888045732912,0.412982039737971,-0.336027215450357,1.3071165250513,0.399728882704278,1.19297458833351,0.227298105474442,-0.709257578033622,0.804114479647044,0.0631324868558249,1.08335333124199,0.0868332555623405,-0.483172871963139,0.96646172882963,0.165368283295436,1.2807106102718,0.00661498039787337,-0.125319558551211,0.0997820780160781,0.213756686377935,2.14027792167485,0.0918251972473894,-0.365175254914795,0.951279065289276,0.405188390866898,1.1403485388182,0.0428303350678151,-0.287052043242688,0.341728979521517,-0.141471268946851,1.09816652920183,-0.000243579010819396,-0.237847763597144,0.279364459763115,-0.204051038172884,1.99391710735025,0.0972018695097862,-0.0327099668112904,0.296454661765317,0.384345228830556,2.01482438898916
0,0.711556654983572,-0.0774404529546777,1.61306340336536,0.632300541262083,1.16547016191908,-0.184605437383756,-0.588106072069771,0.218521923458937,-0.156944850752921,0.603274447418472,0.0395507275090963,-0.793039477590442,0.543142467409561,-0.0494643655178111,1.13313871792491,-0.0305522108510499,-0.387457662005305,0.642328870313724,-0.0203974467567621,0.851175417318235,-0.00389474827928319,-0.314159661470481,0.702179882384712,0.238537223511367,1.15536932938933,-0.0142482533454685,-0.188436797931072,0.109442509386516,0.0261339885548822,0.441335384931266,-0.000229590044688706,-0.204159304404392,0.185582986264559,-0.0326855447838856,1.11057778445107,0.00159509647228763,-0.172491053903048,0.148464905401264,-0.0292577640845295,0.373752611178085,7.46644835854002e-05,-0.10339207299803,0.189679445502224,0.0506343813674946,0.256117427545602,-0.0374584808516168,-0.212114912212012,0.000190865833108636,-0.0681433096621543,0.176298492652897
7,-0.417436319798257,-0.783312770067846,0.186688059320763,-0.260220992412913,0.825276680686439,0.108890687491761,-0.282665674340825,0.459479145047763,0.236580334451955,1.32526888218459,-0.0707305301780441,-0.655316166818569,0.608460024206915,-0.00191919006832808,0.89007141493259,0.160474074315089,-0.798645219611562,0.576192284470616,-0.130775073104169,0.874700581195838,-0.290850266677874,-0.440931796479561,0.233121002881874,0.0162492211959447,0.982170668696789,0,-0.0954449019263087,0.06675141821744,-0.0317203787576525,0.20419052681962,-0.309626997347514,-0.71556137629922,-0.00214332363272586,-0.247193761128507,0.895968473989215,0.131332796964536,-0.000838560080381885,0.37466964808302,0.109808532318087,0.471259197151048,0.00062431246500406,-0.123742971703196,0.151154276877377,-0.00351066212584644,0.243624235998881,-0.0938714224885823,-0.201154526955791,0.00863527919619223,-0.0548748315895563,0.216130824604981
14,-0.524964489410589,-0.752515317814736,-0.0284216496821616,-0.478983132549956,0.772541715218348,0,-0.48574228195414,0.852940071902258,0.168601102383481,0.724884639485794,-0.477042840684006,-0.769951432746525,0.321412887781767,-0.161893550371468,0.91876117715745,0.233699672627101,-0.316369153988457,0.536873773731686,0.00660021283128404,0.827272093611698,-0.260234672226589,-0.491632221315996,-0.00264588764817297,-0.161722372487853,0.577746864852396,0,-0.168541496061774,0.056047171462322,-0.126999792011544,0.470854589112916,0,-0.350958185979942,0.0167949921585803,-0.0226259780931914,0.532444114059605,0.0187841814957808,-0.00015627387515078,0.27296272931655,0.115280363579756,0.297954215230553,-0.000126874045709144,-0.1274286962069,0.0110328740505258,-0.00562067299765995,0.205290102725158,-0.071475667464583,-0.167762263631528,0,-0.0861948977111564,0.105135889132427
21,-0.716605044700551,-0.821265164467369,-0.450151829227667,-0.59995209964531,0.340234976419525,0.271303228715064,0.0173727130043154,0.765420169971752,0.389508380932373,0.534093252337536,-0.628834016886368,-0.810651279512011,-0.281032748017428,-0.373051128278848,0.625232604739885,0.414507891332414,-0.205742992304941,0.635224971400719,0.169814412786279,0.679062416176775,-0.427106321569168,-0.525544614284318,-0.350920348666837,-0.376320444886741,0.274434650195504,0.0439965786270408,-0.0268970610616581,0.0658756938927415,0.00574349646573141,0.126646578065237,-0.367211568678163,-0.683574098753863,-0.0688139049253576,-0.361829701285343,0.47330639979009,0.165370032240521,0.0623104073441542,0.427365810884765,0.186211470559682,0.25681451390188,-0.0399864095931282,-0.130215364662083,0.0351795478413797,-0.0263147090888867,0.199263647744039,-0.140123264024587,-0.175555984172183,-0.0862996776510373,-0.127389924437196,0.0711495116022061
28,-0.599530452248288,-0.7233328021343,-0.1809391273916,-0.436741417263317,0.60657900681955,0.170469853407012,-0.154306017244188,0.807015949074595,0.407869318973479,1.61230579334019,-0.185056824703631,-0.556299236782274,0.307987546878906,-0.0421083731097089,0.669847677304384,0.455717545601214,-0.504832586299649,0.679735561306824,-0.0257922512358523,1.04781693209853,-0.278169392632007,-0.478339049433925,0.130960495238594,-0.140507480207319,0.542999274324892,-0.0144207812116688,-0.161655272460619,0.0475383063917763,-0.0564256779377705,0.170185668511072,-0.249709156767689,-0.552748552872242,0.220469719569067,-0.0748540001385771,0.828189900883604,0.212997636767806,-0.124525494510214,0.379961146862576,-0.0460793783359209,1.0913211333808,0.0743070647230595,-0.119294423113849,0.227155433511012,0.0788072111267556,0.273847521443584,-0.130746117322491,-0.185031514378396,-0.0908230268948564,-0.116361679090691,0.133586284870881
