feature,factor,value,view,sign,feature_id
VC_117_5,Factor4,2.68136264313568,virome,-,VC_117_5
VC_117_2,Factor4,2.62327952812823,virome,-,VC_117_2
VC_612_0,Factor4,2.15491871740007,virome,-,VC_612_0
VC_390_0,Factor4,2.14698982961141,virome,-,VC_390_0
VC_502_1,Factor4,2.12160815328787,virome,-,VC_502_1
VC_611_1,Factor4,2.10573690776288,virome,-,VC_611_1
VC_122_0,Factor4,2.07283015899013,virome,-,VC_122_0
VC_241_3,Factor4,1.97338055772099,virome,-,VC_241_3
VC_385_0,Factor4,1.93221827111889,virome,-,VC_385_0
G23J_7937V__8187,Factor4,1.9134106767695,virome,-,G23J_7937V__8187
VC_1254_0,Factor4,1.87336625448462,virome,-,VC_1254_0
VC_117_7,Factor4,1.85774284394783,virome,-,VC_117_7
VC_470_0,Factor4,1.85438222947052,virome,-,VC_470_0
VC_470_1,Factor4,1.83808221525329,virome,-,VC_470_1
VC_191_0,Factor4,1.81921891735468,virome,-,VC_191_0
