,Genus
otu834,Intestinibacter
otu1369,Intestinibacter
otu225,Intestinibacter
otu2777,Intestinibacter
otu794,Intestinibacter
otu1916,Intestinibacter
otu2203,Intestinibacter
otu2698,Intestinibacter
otu3294,Romboutsia
otu1086,Romboutsia
otu2987,Romboutsia
otu2495,Romboutsia
otu3942,Romboutsia
otu978,Romboutsia
otu4142,Peptostreptococcus
otu4119,Romboutsia
otu1162,Clostridioides
otu1636,Clostridioides
otu466,Clostridioides
otu2176,Clostridioides
otu1224,Tyzzerella
otu3140,Tyzzerella
otu4205,Epulopiscium
otu2411,Epulopiscium
otu1556,Epulopiscium
otu1879,Epulopiscium
otu2074,Epulopiscium
otu236,Epulopiscium
otu1475,Epulopiscium
otu1496,Epulopiscium
otu2428,Epulopiscium
otu748,Epulopiscium
otu2199,Epulopiscium
otu3863,Epulopiscium
otu847,Cellulosilyticum
otu1647,Cellulosilyticum
otu2454,Cellulosilyticum
otu2232,Cellulosilyticum
otu3075,Cellulosilyticum
otu1144,Tyzzerella
otu1334,Tuzzerella
otu2487,Tuzzerella
otu1187,Tuzzerella
otu3726,Tyzzerella
otu2503,Tyzzerella
otu1084,Tyzzerella
otu2266,Tyzzerella
otu1992,Tyzzerella
otu875,Tyzzerella
otu1935,Tyzzerella
otu584,Tyzzerella
otu3089,Tyzzerella
otu1264,Tuzzerella
otu2390,Tuzzerella
otu1841,Tuzzerella
otu2886,Tyzzerella
otu3314,Tyzzerella
otu614,Tuzzerella
otu2872,Tyzzerella
otu1380,Tyzzerella
otu2646,Lachnospiraceae UCG-010
otu3484,Lachnospiraceae UCG-010
otu1995,Lachnospiraceae UCG-010
otu2316,Anaerosporobacter
otu841,Anaerosporobacter
otu1838,Anaerosporobacter
otu3642,Tuzzerella
otu2951,Lachnospiraceae UCG-010
otu3460,unclassified_Lachnospiraceae
otu3936,unclassified_Lachnospiraceae
otu1112,unclassified_Lachnospiraceae
otu1219,unclassified_Lachnospiraceae
otu2421,unclassified_Lachnospiraceae
otu2551,Anaerostignum
