,Genus
otu2084,Oxalobacter
otu3187,Oxalobacter
otu2978,Tepidimonas
otu2315,Acidovorax
otu3826,Alicycliphilus
otu4135,Diaphorobacter
otu3121,Paucibacter
otu2924,Schlegelella
otu3420,unclassified_Comamonadaceae
otu3724,Thauera
otu3629,Neisseria
otu3334,Conchiformibius
otu3090,Hydrogenophilus
otu2486,Xanthomonas
otu1397,Pseudomonas
otu1730,Pseudomonas
otu4024,Pseudomonas
otu307,Pseudomonas
otu838,Pseudomonas
otu2159,Pseudomonas
otu3697,Pseudomonas
otu687,Pseudomonas
otu3313,Pseudomonas
otu65,Pseudomonas
otu4036,Pseudomonas
otu3992,Pseudomonas
otu2504,Pseudomonas
otu4191,Pseudomonas
otu761,Pseudomonas
otu209,Pseudomonas
otu1089,Pseudomonas
otu2161,Pseudomonas
otu2864,Acinetobacter
otu3632,Acinetobacter
otu3300,Acinetobacter
otu3220,Acinetobacter
otu3246,Acinetobacter
otu3146,Enhydrobacter
otu2034,Succinivibrio
otu3324,Succinatimonas
otu2361,Actinobacillus
otu3875,Haemophilus
otu3188,Haemophilus
otu1492,Haemophilus
otu662,Haemophilus
otu4192,Proteus
otu249,Proteus
otu171,Enterobacter
otu1910,Serratia
otu1079,Serratia
otu1536,Serratia
otu656,Hafnia-Obesumbacterium
otu63,Hafnia-Obesumbacterium
otu1278,Hafnia-Obesumbacterium
otu31,Enterobacter
otu684,Enterobacter
otu850,Escherichia-Shigella
otu219,Escherichia-Shigella
otu27,Escherichia-Shigella
otu1007,Escherichia-Shigella
otu509,Escherichia-Shigella
otu28,Escherichia-Shigella
otu215,Escherichia-Shigella
otu626,Escherichia-Shigella
otu345,Escherichia-Shigella
otu177,Escherichia-Shigella
otu1065,Escherichia-Shigella
otu1394,Escherichia-Shigella
otu473,Escherichia-Shigella
otu837,Escherichia-Shigella
otu1324,Escherichia-Shigella
otu451,Escherichia-Shigella
otu2127,Escherichia-Shigella
otu553,Escherichia-Shigella
otu1459,Escherichia-Shigella
otu1027,Escherichia-Shigella
otu64,Escherichia-Shigella
otu1877,Escherichia-Shigella
otu2827,Escherichia-Shigella
otu132,Escherichia-Shigella
otu4204,unclassified_Enterobacteriaceae
otu495,unclassified_Enterobacteriaceae
otu3399,unclassified_Enterobacteriaceae
otu3666,unclassified_Enterobacteriaceae
otu4091,unclassified_Enterobacteriaceae
otu4129,unclassified_Enterobacteriaceae
otu342,unclassified_Enterobacteriaceae
otu1277,unclassified_Enterobacteriaceae
otu59,unclassified_Enterobacteriaceae
otu291,Escherichia-Shigella
otu1184,Escherichia-Shigella
otu142,Escherichia-Shigella
otu383,Escherichia-Shigella
otu71,Enterobacter
otu1674,Salmonella
otu2212,Citrobacter
otu522,Enterobacter
otu1090,Enterobacter
otu595,Enterobacter
otu1305,Enterobacter
otu51,Enterobacter
otu420,unclassified_Enterobacteriaceae
otu1146,Klebsiella
otu721,Klebsiella
otu62,Klebsiella
otu2055,unclassified_Enterobacteriaceae
otu971,Kluyvera
otu1034,Klebsiella
otu279,Klebsiella
otu70,Klebsiella
otu804,Klebsiella
otu510,Klebsiella
otu384,Klebsiella
otu622,Klebsiella
otu198,unclassified_Enterobacteriaceae
otu615,Klebsiella
otu2134,Kosakonia
otu178,Enterobacter
otu888,Enterobacter
otu404,Citrobacter
otu317,Citrobacter
otu116,Citrobacter
otu347,Citrobacter
otu14,Citrobacter
otu323,Citrobacter
otu1472,Citrobacter
otu1431,Enterobacter
otu2100,unidentified
otu3307,unidentified
otu2023,Altererythrobacter
otu4094,Novosphingobium
otu4042,Sphingomonas
otu4105,Sphingobium
otu2299,unidentified
otu3977,Bacteroides
otu4015,Megasphaera
otu3779,Campylobacter
otu3451,unidentified
otu3658,unclassified_Streptococcaceae
otu3682,unclassified_Streptococcaceae
otu4125,Anaeroplasma
otu3819,unidentified
otu4130,unidentified
otu3407,Brevundimonas
otu3394,Paracoccus
otu3576,unidentified
otu3349,unidentified
otu3768,Lactobacillus
otu3922,unclassified_Pseudomonadaceae
otu3793,Pseudomonas
otu2628,Akkermansia
otu883,Akkermansia
otu3013,Akkermansia
otu4066,unclassified_Streptococcaceae
otu3415,Lactobacillus
otu2075,unidentified
otu3608,Bacteroides
otu2596,Abiotrophia
otu2429,Abiotrophia
otu1973,Abiotrophia
otu2942,Abiotrophia
otu4095,Abiotrophia
otu2909,Abiotrophia
otu3367,Globicatella
otu570,unidentified
otu711,unidentified
otu1006,Lactobacillus
otu644,Lactobacillus
otu1942,Lactobacillus
otu1056,Lactobacillus
otu929,Lactobacillus
otu2255,Lactobacillus
otu1844,Lactobacillus
otu1298,Lactobacillus
otu2278,Lactobacillus
otu1124,Lactobacillus
otu3677,Lactobacillus
otu3274,Lactobacillus
otu329,Lactobacillus
otu433,Lactobacillus
otu18,Lactobacillus
otu529,Lactobacillus
otu982,Lactobacillus
otu128,Lactobacillus
otu4207,Lactobacillus
otu4190,Lactobacillus
otu3599,Lactobacillus
otu3772,Lactobacillus
otu4206,Lactobacillus
otu3287,Lactobacillus
otu226,Lactobacillus
otu1882,Lactobacillus
otu322,Lactobacillus
otu2568,Lactobacillus
otu2179,Lactobacillus
otu2076,Lactobacillus
otu3005,Lactobacillus
otu3871,Lactobacillus
otu2511,Weissella
otu3433,Weissella
otu2873,Leuconostoc
otu2834,Leuconostoc
otu2740,Leuconostoc
otu2998,Leuconostoc
otu1956,Lactobacillus
otu3429,Lactobacillus
otu1499,Lactobacillus
otu1811,Lactobacillus
otu1669,Lactobacillus
otu1009,Lactobacillus
otu1502,Lactobacillus
otu3866,Lactobacillus
otu3261,Lactobacillus
otu2480,Lactobacillus
otu379,Lactobacillus
otu3740,Lactobacillus
otu3527,Lactobacillus
otu1734,Lactobacillus
otu361,Lactobacillus
otu2254,Lactobacillus
otu3095,Lactobacillus
otu3441,Pediococcus
otu2121,Pediococcus
otu957,Pediococcus
otu1318,Pediococcus
otu4186,Pediococcus
otu1774,unidentified
otu4152,unidentified
otu564,Lactococcus
otu668,Lactococcus
otu1310,Lactococcus
otu76,Streptococcus
otu3944,Streptococcus
otu2753,Streptococcus
otu2865,Streptococcus
otu3821,Streptococcus
otu7,Streptococcus
otu467,Streptococcus
otu914,Streptococcus
otu923,Streptococcus
otu1031,Streptococcus
otu2043,Streptococcus
otu375,Streptococcus
otu1285,Streptococcus
otu3660,Streptococcus
otu2845,Streptococcus
otu1566,Streptococcus
otu129,Streptococcus
otu827,Streptococcus
otu452,Streptococcus
otu2772,Streptococcus
otu2970,Streptococcus
otu1468,Streptococcus
otu1598,Streptococcus
otu2690,Streptococcus
otu247,Streptococcus
otu488,Streptococcus
otu824,Streptococcus
otu1462,Streptococcus
otu2056,Streptococcus
otu93,Streptococcus
otu144,Streptococcus
otu161,Streptococcus
otu1623,Streptococcus
otu3071,Streptococcus
otu1237,Streptococcus
otu1538,Streptococcus
otu3221,Streptococcus
otu3584,Lactococcus
otu4084,Lactococcus
otu2314,Lactococcus
otu3930,Enterococcus
otu2706,Enterococcus
otu1134,Enterococcus
otu972,Enterococcus
otu1094,Enterococcus
otu55,Enterococcus
otu535,Enterococcus
otu4198,Enterococcus
otu3978,Enterococcus
otu3552,Enterococcus
otu3582,Enterococcus
otu1139,Enterococcus
otu2367,Enterococcus
otu4108,Enterococcus
otu3406,Enterococcus
otu2398,Enterococcus
otu2902,Enterococcus
otu3583,Enterococcus
otu6,Enterococcus
otu49,Enterococcus
otu16,Enterococcus
otu157,Enterococcus
otu358,Enterococcus
otu3867,Enterococcus
otu597,Enterococcus
otu2903,Enterococcus
otu3564,Enterococcus
otu1532,Enterococcus
otu2089,Enterococcus
otu2391,Enterococcus
otu3919,Enterococcus
otu859,Enterococcus
otu1373,Enterococcus
otu1663,Enterococcus
otu2821,Enterococcus
otu3400,Enterococcus
otu3337,Enterococcus
otu2223,Enterococcus
otu3741,Aerococcus
otu3555,Atopostipes
otu3542,Atopostipes
otu3827,unidentified
otu2962,Exiguobacterium
otu3971,Caldalkalibacillus
otu3022,Aeribacillus
otu3756,Anoxybacillus
otu2857,Geobacillus
otu3435,Geobacillus
otu1880,Geobacillus
otu2229,Geobacillus
otu2068,Aeribacillus
otu3351,Staphylococcus
otu1881,Staphylococcus
otu2791,Staphylococcus
otu2439,Staphylococcus
otu44,Staphylococcus
otu217,Staphylococcus
otu145,Staphylococcus
otu3009,Staphylococcus
otu1198,Staphylococcus
otu167,Staphylococcus
otu2534,Staphylococcus
otu276,Staphylococcus
otu1051,Staphylococcus
otu3794,Staphylococcus
otu3862,Staphylococcus
otu3998,Paenibacillus
otu2138,Gemella
otu2032,Gemella
otu3201,Gemella
otu3125,Candidatus Stoquefichus
otu530,Coprobacillus
otu150,Coprobacillus
otu484,Coprobacillus
otu2412,Erysipelotrichaceae UCG-003
otu2644,Erysipelotrichaceae UCG-003
otu2276,Erysipelotrichaceae UCG-003
otu496,Erysipelotrichaceae UCG-003
otu2598,Erysipelotrichaceae UCG-003
otu2484,Erysipelotrichaceae UCG-003
otu545,Erysipelotrichaceae UCG-003
otu2916,Erysipelotrichaceae UCG-003
otu3452,Erysipelotrichaceae UCG-003
otu2975,Erysipelotrichaceae UCG-003
otu2099,Erysipelatoclostridium
otu2663,Erysipelatoclostridium
otu1490,Erysipelatoclostridium
otu2344,Erysipelatoclostridium
otu3231,Erysipelatoclostridium
otu2507,Erysipelatoclostridium
otu3186,unclassified_Erysipelatoclostridiaceae
otu4199,Erysipelatoclostridium
otu1967,Erysipelatoclostridium
otu38,Erysipelatoclostridium
otu441,Erysipelatoclostridium
otu1576,Erysipelatoclostridium
otu21,Erysipelatoclostridium
otu1783,Erysipelatoclostridium
otu2819,Erysipelatoclostridium
otu2476,Erysipelatoclostridium
otu943,Erysipelatoclostridium
otu4098,Erysipelatoclostridium
otu3764,Erysipelatoclostridium
otu3643,Erysipelatoclostridium
otu4003,Erysipelatoclostridium
otu3892,Erysipelatoclostridium
otu3923,Erysipelatoclostridium
otu3868,Erysipelatoclostridium
otu3041,Erysipelatoclostridium
otu4058,unidentified
otu1174,Erysipelatoclostridium
otu1614,Erysipelatoclostridium
otu2774,Erysipelatoclostridium
otu3243,Erysipelatoclostridium
otu334,Erysipelatoclostridium
otu2968,Erysipelatoclostridium
otu1718,Erysipelatoclostridium
otu3937,Erysipelatoclostridium
otu152,Erysipelatoclostridium
otu633,Erysipelatoclostridium
otu250,Erysipelatoclostridium
otu2583,Erysipelatoclostridium
otu264,Catenibacterium
otu1259,Catenibacterium
otu736,Catenibacterium
otu2593,Catenibacterium
otu3734,Catenibacterium
otu3987,Catenibacterium
otu2221,Catenibacterium
otu928,unclassified_Erysipelotrichaceae
otu1762,Merdibacter
otu1261,Merdibacter
otu2288,Merdibacter
otu3777,Merdibacter
otu961,Merdibacter
otu686,Merdibacter
otu1842,Merdibacter
otu4161,[Clostridium] innocuum group
otu2440,[Clostridium] innocuum group
otu2693,[Clostridium] innocuum group
otu3899,[Clostridium] innocuum group
otu2502,[Clostridium] innocuum group
otu2423,[Clostridium] innocuum group
otu396,[Clostridium] innocuum group
otu579,[Clostridium] innocuum group
otu1535,[Clostridium] innocuum group
otu380,[Clostridium] innocuum group
otu166,[Clostridium] innocuum group
otu1311,[Clostridium] innocuum group
otu475,[Clostridium] innocuum group
otu2739,[Clostridium] innocuum group
otu45,[Clostridium] innocuum group
otu934,[Clostridium] innocuum group
otu1209,[Clostridium] innocuum group
otu387,[Clostridium] innocuum group
otu676,[Clostridium] innocuum group
otu357,[Clostridium] innocuum group
otu1019,[Clostridium] innocuum group
otu1914,[Clostridium] innocuum group
otu865,[Clostridium] innocuum group
otu405,[Clostridium] innocuum group
otu2123,[Clostridium] innocuum group
otu1874,[Clostridium] innocuum group
otu1950,[Clostridium] innocuum group
otu1417,[Clostridium] innocuum group
otu1851,[Clostridium] innocuum group
otu1983,[Clostridium] innocuum group
otu506,[Clostridium] innocuum group
otu610,[Clostridium] innocuum group
otu1716,[Clostridium] innocuum group
otu2765,Faecalitalea
otu1423,Faecalitalea
otu1955,Faecalitalea
otu2910,Faecalitalea
otu3298,[Clostridium] innocuum group
otu338,[Clostridium] innocuum group
otu578,[Clostridium] innocuum group
otu306,[Clostridium] innocuum group
otu2332,[Clostridium] innocuum group
otu1230,Faecalitalea
otu2042,Faecalitalea
otu1896,Faecalitalea
otu3965,Faecalitalea
otu1120,Faecalitalea
otu1807,Faecalitalea
otu712,Faecalitalea
otu1970,Faecalitalea
otu2115,unclassified_Erysipelotrichaceae
otu1028,unclassified_Erysipelotrichaceae
otu1574,unclassified_Erysipelotrichaceae
otu785,unclassified_Erysipelotrichaceae
otu869,unclassified_Erysipelotrichaceae
otu470,Faecalitalea
otu1393,Faecalitalea
otu138,Holdemanella
otu796,Holdemanella
otu2242,Holdemanella
otu992,Holdemanella
otu2835,Faecalicoccus
otu321,Catenisphaera
otu1908,Catenisphaera
otu835,unclassified_Erysipelotrichaceae
otu967,Dielma
otu1190,Dielma
otu2839,Dielma
otu2488,Dielma
otu3040,Dielma
otu3165,Dielma
otu3633,Holdemania
otu3830,Holdemania
otu1622,Holdemania
otu143,Holdemania
otu1703,Holdemania
otu1661,Holdemania
otu1521,Holdemania
otu362,Holdemania
otu775,Holdemania
otu1587,Holdemania
otu710,Holdemania
otu2995,Holdemania
otu797,Holdemania
otu3247,Holdemania
otu1732,Solobacterium
otu1871,Solobacterium
otu2940,Solobacterium
otu3876,Solobacterium
otu3558,Eggerthia
otu1690,Turicibacter
otu830,Turicibacter
otu3076,UCG-004
otu2143,Asteroleplasma
otu3904,UCG-004
otu1121,Anaeroplasma
otu3953,Anaeroplasma
otu4087,unidentified
otu216,Anaeroplasma
otu114,Anaeroplasma
otu3392,unidentified
otu3597,unidentified
otu4077,unidentified
otu3964,unidentified
otu3449,unidentified
otu2281,unidentified
otu3232,unidentified
otu3874,unidentified
otu1739,unidentified
otu3686,unidentified
otu3354,Peptococcus
otu3229,Peptococcus
otu2770,Peptococcus
otu2929,Peptococcus
otu3382,Peptococcus
otu3825,Peptococcus
otu3126,Peptococcus
otu2399,Peptococcus
otu1936,Peptococcus
otu3778,Peptococcus
otu2408,Peptococcus
otu2388,Peptococcus
otu3018,unidentified
otu3211,Candidatus Obscuribacter
otu3463,Candidatus Obscuribacter
otu734,unidentified
otu2228,unidentified
otu3310,unidentified
otu3614,unidentified
otu1126,unidentified
otu2832,unidentified
otu1750,unidentified
otu2243,unidentified
otu4088,unidentified
otu2659,Butyricicoccus
otu3984,unidentified
otu1824,unclassified_Oscillospiraceae
otu3272,unidentified
otu3969,unidentified
otu3466,UCG-009
otu3959,unclassified_Oscillospiraceae
otu3902,unclassified_Oscillospiraceae
otu3894,unclassified_Oscillospiraceae
otu3566,NK4A214 group
otu3157,[Eubacterium] oxidoreducens group
otu3486,[Eubacterium] oxidoreducens group
otu419,[Eubacterium] oxidoreducens group
otu3991,NK4A214 group
otu3316,NK4A214 group
otu3513,NK4A214 group
otu3376,[Eubacterium] oxidoreducens group
otu2457,NK4A214 group
otu2426,NK4A214 group
otu1980,NK4A214 group
otu1087,NK4A214 group
otu1957,NK4A214 group
otu1011,NK4A214 group
otu3589,NK4A214 group
otu2755,NK4A214 group
otu1729,[Eubacterium] oxidoreducens group
otu3675,[Eubacterium] oxidoreducens group
otu903,[Eubacterium] oxidoreducens group
otu1203,NK4A214 group
otu1909,NK4A214 group
otu1595,[Eubacterium] oxidoreducens group
otu863,NK4A214 group
otu911,NK4A214 group
otu2869,NK4A214 group
otu3569,NK4A214 group
otu2516,NK4A214 group
otu3797,NK4A214 group
otu1349,NK4A214 group
otu3507,unclassified_Oscillospiraceae
otu3096,NK4A214 group
otu2286,NK4A214 group
otu3754,NK4A214 group
otu4055,NK4A214 group
otu3280,NK4A214 group
otu2789,[Eubacterium] oxidoreducens group
otu3701,NK4A214 group
otu646,Oscillibacter
otu1229,Oscillibacter
otu4165,UCG-003
otu3079,unclassified_Oscillospiraceae
otu3167,unclassified_Oscillospiraceae
otu2559,unclassified_Oscillospiraceae
otu1814,unclassified_Oscillospiraceae
otu2214,unclassified_Oscillospiraceae
otu2550,unclassified_Oscillospiraceae
otu4124,Oscillibacter
otu84,Oscillibacter
otu202,Oscillibacter
otu2757,Oscillibacter
otu3342,Oscillibacter
otu3431,Oscillospira
otu4102,Oscillospira
otu3864,Oscillibacter
otu182,Oscillibacter
otu1572,Oscillibacter
otu652,Oscillibacter
otu3258,Oscillospira
otu3458,unclassified_Oscillospiraceae
otu3591,Oscillibacter
otu1337,Oscillibacter
otu1464,Oscillibacter
otu302,Oscillibacter
otu927,Oscillibacter
otu1110,Oscillibacter
otu1549,Oscillibacter
otu1520,unclassified_Oscillospiraceae
otu2175,unclassified_Oscillospiraceae
otu3657,unclassified_Oscillospiraceae
otu2233,unclassified_Oscillospiraceae
otu1554,unclassified_Oscillospiraceae
otu1291,Oscillospira
otu2000,Oscillospira
otu3056,Oscillospira
otu1943,Oscillospira
otu3061,Oscillospira
otu3163,Oscillospira
otu1322,Oscillospira
otu1682,Oscillospira
otu2826,Oscillospira
otu2900,unclassified_Oscillospiraceae
otu4166,unclassified_Oscillospiraceae
otu3735,unidentified
otu2945,unclassified_Oscillospiraceae
otu1876,unclassified_Oscillospiraceae
otu1212,UCG-003
otu3504,UCG-003
otu3465,UCG-003
otu2586,UCG-003
otu1227,UCG-003
otu3898,Oscillibacter
otu3748,Oscillibacter
otu3502,Oscillibacter
otu1743,Oscillibacter
otu1987,Oscillibacter
otu3034,Oscillibacter
otu2348,Colidextribacter
otu2674,Colidextribacter
otu2580,Colidextribacter
otu3496,V9D2013 group
otu3230,UCG-005
otu2063,UCG-005
otu1308,UCG-005
otu1400,UCG-005
otu2230,UCG-005
otu1929,[Eubacterium] oxidoreducens group
otu492,unclassified_Oscillospiraceae
otu2885,UCG-005
otu2469,UCG-005
otu3813,UCG-007
otu3117,UCG-007
otu3561,UCG-007
otu4090,unclassified_Oscillospiraceae
otu3026,unclassified_Oscillospiraceae
otu3292,unclassified_Oscillospiraceae
otu3104,unclassified_Oscillospiraceae
otu3630,unclassified_Oscillospiraceae
otu3776,unclassified_Oscillospiraceae
otu2971,Papillibacter
otu3853,UCG-005
otu3238,UCG-005
otu948,UCG-002
otu962,[Eubacterium] oxidoreducens group
otu2012,UCG-002
otu1150,UCG-002
otu2672,UCG-005
otu3322,UCG-005
otu2135,unclassified_Ruminococcaceae
otu3303,[Eubacterium] siraeum group
otu2227,[Eubacterium] oxidoreducens group
otu2263,[Eubacterium] oxidoreducens group
otu1024,[Eubacterium] oxidoreducens group
otu2519,Oscillibacter
otu1859,[Eubacterium] oxidoreducens group
otu2389,UCG-002
otu2771,UCG-002
otu1518,UCG-002
otu1240,UCG-002
otu1191,UCG-002
otu3285,[Eubacterium] oxidoreducens group
otu1186,Oscillibacter
otu1469,[Eubacterium] oxidoreducens group
otu1342,unclassified_Oscillospiraceae
otu1244,unidentified
otu1147,Oscillibacter
otu1097,Oscillibacter
otu1931,Oscillibacter
otu2022,[Eubacterium] oxidoreducens group
otu3365,Lachnospiraceae NK3A20 group
otu2109,UCG-009
otu2723,UCG-009
otu798,UCG-009
otu3956,Flavonifractor
otu2984,Flavonifractor
otu4053,Flavonifractor
otu3278,Flavonifractor
otu2579,UCG-002
otu3925,UCG-003
otu2983,UCG-002
otu599,UCG-002
otu1679,UCG-002
otu661,UCG-002
otu1738,UCG-002
otu1789,Colidextribacter
otu1555,UCG-002
otu2113,UCG-002
otu1883,UCG-002
otu906,UCG-002
otu1331,UCG-002
otu2527,UCG-002
otu2435,UCG-002
otu1325,UCG-002
otu1063,[Eubacterium] oxidoreducens group
otu2768,[Eubacterium] oxidoreducens group
otu1524,[Eubacterium] oxidoreducens group
otu2066,[Eubacterium] oxidoreducens group
otu3311,[Eubacterium] oxidoreducens group
otu1975,UCG-002
otu1501,UCG-002
otu3689,unclassified_Oscillospiraceae
otu2859,unclassified_Oscillospiraceae
otu2498,Oscillibacter
otu468,Veillonella
otu587,Veillonella
otu112,Veillonella
otu476,Veillonella
otu770,Veillonella
otu904,Veillonella
otu1243,Veillonella
otu1021,Veillonella
otu1723,Veillonella
otu1482,Veillonella
otu1854,Veillonella
otu1317,Veillonella
otu1471,Veillonella
otu401,Veillonella
otu899,Veillonella
otu52,Veillonella
otu232,Veillonella
otu187,Veillonella
otu512,Veillonella
otu168,Veillonella
otu2525,Veillonella
otu1114,Veillonella
otu1905,Veillonella
otu542,Veillonella
otu3416,Veillonella
otu2122,Veillonella
otu1042,Veillonella
otu1745,Veillonella
otu876,Veillonella
otu436,Veillonella
otu1165,Veillonella
otu706,Veillonella
otu714,Veillonella
otu922,Veillonella
otu1289,Veillonella
otu814,Veillonella
otu1541,Veillonella
otu1202,Veillonella
otu845,Veillonella
otu586,Veillonella
otu2180,Veillonella
otu963,Veillonella
otu1192,Veillonella
otu3824,Veillonella
otu4007,Veillonella
otu3573,Veillonella
otu3693,Veillonella
otu3088,Veillonella
otu4109,Veillonella
otu3769,Veillonella
otu4200,Veillonella
otu1360,Megasphaera
otu2298,Megasphaera
otu3464,Megasphaera
otu1585,Megasphaera
otu1680,Megasphaera
otu1664,Megasphaera
otu1808,Megasphaera
otu2067,Megasphaera
otu1761,Megasphaera
otu1787,Megasphaera
otu1489,Megasphaera
otu991,Megasphaera
otu1699,Megasphaera
otu1073,Megasphaera
otu1833,Megasphaera
otu3444,Megasphaera
otu950,Megasphaera
otu1344,Megasphaera
otu1589,Megasphaera
otu1152,Megasphaera
otu1343,Megasphaera
otu1320,Megasphaera
otu1030,Megasphaera
otu1326,Megasphaera
otu881,Megasphaera
otu1603,Megasphaera
otu2634,Megasphaera
otu3203,Megasphaera
otu3540,Anaeroglobus
otu1932,Megasphaera
otu1456,Megasphaera
otu2665,Megasphaera
otu566,Asaccharobacter
otu2366,Dialister
otu293,Dialister
otu1391,Dialister
otu1473,Dialister
otu462,Dialister
otu1376,Dialister
otu1057,Dialister
otu1990,Dialister
otu2124,unclassified_Veillonellaceae
otu2385,Dialister
otu3099,Dialister
otu2852,Allisonella
otu2405,Allisonella
otu2563,Allisonella
otu3419,Allisonella
otu759,Dialister
otu503,Dialister
otu593,Dialister
otu2061,Dialister
otu701,Dialister
otu3628,Dialister
otu3627,Dialister
otu1864,Dialister
otu1345,Dialister
otu1926,Dialister
otu1878,Dialister
otu1366,Dialister
otu2863,Dialister
otu3518,Acidaminococcus
otu118,Acidaminococcus
otu1361,Acidaminococcus
otu3691,Acidaminococcus
otu4074,Acidaminococcus
otu2992,unidentified
otu853,Zymophilus
otu2147,Anaerosinus
otu3236,Phascolarctobacterium
otu2462,Phascolarctobacterium
otu493,Phascolarctobacterium
otu851,Phascolarctobacterium
otu184,Phascolarctobacterium
otu766,Phascolarctobacterium
otu1158,Phascolarctobacterium
otu2449,Mitsuokella
otu2703,Mitsuokella
otu2667,Mitsuokella
otu3073,Mitsuokella
otu4002,Mitsuokella
otu3296,Mitsuokella
otu3572,unidentified
otu4073,unidentified
otu3770,unidentified
otu4028,NK4A214 group
otu2305,Butyricicoccus
otu1800,Butyricicoccus
otu1164,Butyricicoccus
otu1434,Butyricicoccus
otu1673,Butyricicoccus
otu2418,Butyricicoccus
otu2512,Butyricicoccus
otu1584,Butyricicoccus
otu1153,Butyricicoccus
otu2963,Butyricicoccus
otu624,Butyricicoccus
otu2311,Butyricicoccus
otu2336,Butyricicoccus
otu3743,Lachnospiraceae NC2004 group
otu2780,Butyricicoccus
otu3652,Butyricicoccus
otu1792,Butyricicoccus
otu3036,Butyricicoccus
otu1847,Butyricicoccus
otu220,Butyricicoccus
otu2764,Butyricicoccus
otu2779,Butyricicoccus
otu4006,Butyricicoccus
otu2364,Butyricicoccus
otu4149,Butyricicoccus
otu1113,Butyricicoccus
otu1302,Butyricicoccus
otu4101,UCG-008
otu2471,Butyricicoccus
otu1430,Butyricicoccus
otu1010,Butyricicoccus
otu3780,Butyricicoccus
otu2431,Butyricicoccus
otu2790,Butyricicoccus
otu2647,Butyricicoccus
otu3328,Butyricicoccus
otu2417,Butyricicoccus
otu2539,Butyricicoccus
otu3695,Butyricicoccus
otu3567,Butyricicoccus
otu3861,unidentified
otu4177,Butyricicoccus
otu2792,Butyricicoccus
otu2669,UCG-008
otu2733,unidentified
otu1988,unidentified
otu3544,unidentified
otu1058,[Eubacterium] siraeum group
otu1617,[Eubacterium] siraeum group
otu1683,[Eubacterium] siraeum group
otu674,[Eubacterium] siraeum group
otu574,unidentified
otu48,unidentified
otu99,unidentified
otu3888,unidentified
otu189,unidentified
otu115,unidentified
otu422,unidentified
otu800,unidentified
otu1316,unidentified
otu986,unidentified
otu1676,unidentified
otu283,unidentified
otu568,Lachnospiraceae NC2004 group
otu1960,Lachnospiraceae NC2004 group
otu1764,Lachnospiraceae NC2004 group
otu1214,unidentified
otu2662,unidentified
otu3924,Ruminococcus
otu1055,Ruminococcus
otu455,Lachnospiraceae NC2004 group
otu2350,Lachnospiraceae NC2004 group
otu2960,Lachnospiraceae NC2004 group
otu3170,unclassified_Ruminococcaceae
otu1823,Ruminococcus
otu1183,Ruminococcus
otu2629,Ruminococcus
otu2817,Ruminococcus
otu2825,Ruminococcus
otu985,Ruminococcus
otu625,Ruminococcus
otu2943,Ruminococcus
otu257,Ruminococcus
otu1922,Ruminococcus
otu260,Ruminococcus
otu843,Ruminococcus
otu933,Ruminococcus
otu1707,unclassified_Ruminococcaceae
otu2139,Anaerotruncus
otu4143,Anaerotruncus
otu2637,unidentified
otu3711,unclassified_Ruminococcaceae
otu2108,unidentified
otu954,unidentified
otu3911,unidentified
otu3525,unclassified_Ruminococcaceae
otu3709,unidentified
otu3851,unidentified
otu2259,Harryflintia
otu4064,Harryflintia
otu4033,unclassified_Ruminococcaceae
otu453,unidentified
otu3106,unclassified_Ruminococcaceae
otu3130,Paludicola
otu3217,unclassified_Ruminococcaceae
otu3448,Paludicola
otu3927,Paludicola
otu3375,Paludicola
otu2368,Paludicola
otu2017,Paludicola
otu2829,Paludicola
otu4027,unidentified
otu2976,unidentified
otu3049,Acetanaerobacterium
otu2528,unidentified
otu3124,unidentified
otu3958,unidentified
otu3309,unidentified
otu3467,unclassified_Ruminococcaceae
otu2211,unclassified_Ruminococcaceae
otu2704,unidentified
otu1949,Paludicola
otu3491,Paludicola
otu4185,Paludicola
otu2045,unidentified
otu3909,unidentified
otu3586,unidentified
otu3517,unidentified
otu2018,Candidatus Soleaferrea
otu3002,Candidatus Soleaferrea
otu1817,Candidatus Soleaferrea
otu2793,Candidatus Soleaferrea
otu3457,unidentified
otu3551,unclassified_Ruminococcaceae
otu2621,unclassified_Ruminococcaceae
otu208,Anaerotruncus
otu821,Anaerotruncus
otu2386,Anaerotruncus
otu602,Anaerotruncus
otu2955,Anaerotruncus
otu3156,unidentified
otu2053,unidentified
otu3011,unidentified
otu1258,unidentified
otu2847,unidentified
otu2215,unidentified
otu1704,unidentified
otu2155,unidentified
otu1755,unidentified
otu3141,unidentified
otu2339,unidentified
otu1609,unclassified_Ruminococcaceae
otu1649,[Eubacterium] siraeum group
otu3345,[Eubacterium] siraeum group
otu1684,[Eubacterium] siraeum group
otu2279,[Eubacterium] siraeum group
otu2177,[Eubacterium] siraeum group
otu3957,unidentified
otu708,Lachnospiraceae NC2004 group
otu3184,Lachnospiraceae NC2004 group
otu2128,unidentified
otu1601,unidentified
otu2958,unidentified
otu1156,unidentified
otu2635,unclassified_Ruminococcaceae
otu3771,unidentified
otu2591,unidentified
otu3749,unidentified
otu3401,unidentified
otu3158,unidentified
otu3996,unidentified
otu1233,Phocea
otu3669,unclassified_Ruminococcaceae
otu2207,unclassified_Ruminococcaceae
otu2140,unclassified_Ruminococcaceae
otu3164,unclassified_Ruminococcaceae
