,Genus
otu1092,unclassified_Saccharomycetaceae
otu1604,unidentified
otu882,unclassified_Saccharomycetaceae
otu75,Kluyveromyces
otu463,Kluyveromyces
otu1310,Eremothecium
otu579,Lachancea
otu990,Zygosaccharomyces
otu347,Kazachstania
otu309,Kazachstania
otu437,Kazachstania
otu2409,Kazachstania
otu114,Kazachstania
otu2353,Kazachstania
otu2957,Kazachstania
otu2955,Kazachstania
otu223,Kazachstania
otu1150,Kazachstania
otu138,Kazachstania
otu180,Kazachstania
otu17,Naumovozyma
otu52,Naumovozyma
otu247,Naumovozyma
otu124,Naumovozyma
otu334,Naumovozyma
otu1363,Naumovozyma
otu1999,Nakaseomyces
otu254,Naumovozyma
otu433,Naumovozyma
otu201,Naumovozyma
otu291,Naumovozyma
otu264,Naumovozyma
otu1,Naumovozyma
otu231,Nakaseomyces
otu1374,unidentified
otu1527,Dekkera
otu2016,Hanseniaspora
otu57,Hanseniaspora
otu670,Hanseniaspora
otu1110,Martiniozyma
otu1190,Saturnispora
otu550,Saturnispora
otu3395,Candida
otu263,Saturnispora
otu2285,unidentified
otu49,unidentified
otu1320,Starmerella
otu1128,Cyberlindnera
otu580,Candida
otu617,Candida
otu1200,unidentified_67
otu313,unidentified
otu168,Vishniacozyma
otu2866,Vishniacozyma
otu330,Vishniacozyma
otu1706,Vishniacozyma
otu1566,Vishniacozyma
otu804,Vishniacozyma
otu2842,unidentified_67
otu1038,Vishniacozyma
otu1500,Vishniacozyma
otu110,Wallemia
otu738,Wallemia
otu2001,unidentified
otu595,unidentified_51
otu828,unidentified_51
otu414,Wickerhamiella
otu169,Mortierella
otu1749,unidentified_73
otu1183,Taphrina
otu1719,Taphrina
otu779,Protomyces
otu2951,Rhodosporidiobolus
otu509,Rhodosporidiobolus
otu1070,Rhodosporidiobolus
otu481,Puccinia
otu1980,unidentified
otu98,Sporobolomyces
otu255,Sporobolomyces
otu375,Sporobolomyces
otu704,Sporobolomyces
otu1686,Sporobolomyces
otu644,unclassified_Sporidiobolaceae
otu874,unidentified_23
otu166,unidentified_1635
otu891,unidentified
otu1181,Leucosporidium
otu102,Sterigmatomyces
otu954,Pseudohyphozyma
otu1083,Kondoa
otu1290,Kondoa
otu307,Kondoa
otu3317,Suillus
otu67,Suillus
otu152,Suillus
otu427,Suillus
otu747,Suillus
otu39,Suillus
otu2323,Suillus
otu2786,Suillus
otu3063,Suillus
otu1751,Suillus
otu22,Suillus
otu143,Suillus
otu2916,Suillus
otu2520,unidentified
otu1555,unidentified_242
otu972,unidentified
otu54,Cryptococcus_4913
otu1273,Cryptococcus_4913
otu341,Filobasidium
otu276,Piskurozyma
otu632,unidentified
otu187,Filobasidium
otu428,Naganishia
otu1441,Naganishia
otu946,Naganishia
otu1099,Naganishia
otu2911,Aspergillus
otu2598,unidentified
otu2599,unidentified
otu1646,Resinicium
otu472,unidentified_151
otu789,Imleria
otu405,unidentified
otu613,Stereum
otu1493,Stereum
otu669,Auricularia
otu746,Holtermanniella
otu898,unidentified_67
otu1914,Genolevuria
otu106,Aspergillus
otu1225,Aspergillus
otu1858,Papiliotrema
otu1481,Aspergillus
otu1220,Vanrija
otu379,Trichosporon
otu1088,Aspergillus
otu619,Aspergillus
otu1048,Aspergillus
otu1431,Vanrija
otu320,Vanrija
otu530,Vanrija
otu625,Cystofilobasidium
otu484,Cystofilobasidium
otu118,Cystofilobasidium
otu1060,Cystofilobasidium
otu506,Tausonia
otu583,Itersonilia
otu889,Itersonilia
otu610,Mrakia
otu1068,unidentified
otu2255,Hannaella
otu275,Dioszegia
otu1161,Dioszegia
otu1212,Aspergillus
otu581,unidentified_67
otu1982,unidentified
otu1787,Aspergillus
otu328,Schizophyllum
otu984,unidentified
otu1793,unclassified_Erythrobasidiaceae
otu748,Erythrobasidium
otu492,Cystobasidium
otu969,Cystobasidium
otu1346,unidentified
otu2877,Symmetrospora
otu1268,unidentified
otu705,Tapinella
otu1650,Baeospora
otu1565,Radulomyces
otu1199,Armillaria
otu970,Strobilurus
otu251,Cylindrobasidium
otu222,Cylindrobasidium
otu825,Cylindrobasidium
otu429,Mycena
otu1207,Panellus
otu1237,Coprinopsis
otu1546,Psathyrella
otu2143,unidentified_7
otu824,Hypsizygus
otu1744,Clitocybe
otu2628,Clitocybe
otu2438,Clitopilus
otu483,Hypholoma
otu1304,Pholiota
otu1059,Pleurotus
otu604,unidentified
otu340,unidentified
otu1695,unidentified
otu454,Boletus
otu600,Boletus
otu1659,Boletus
otu1620,Suillus
otu1614,unidentified_3089
otu2014,unidentified_3089
otu1040,Hyphodontia
otu1711,unidentified_12
otu2208,Peniophora
otu357,Botryobasidium
otu1194,Physisporinus
otu1524,unidentified
otu734,unidentified
otu2283,unidentified_151
otu1330,Ceriporia
otu1063,Mycoacia
otu805,Phlebiopsis
otu217,Trametes
otu707,Ganoderma
otu172,Ganoderma
otu236,Ganoderma
otu292,Daedaleopsis
otu899,unidentified
otu1626,Trametes
otu1904,Schizopora
otu1791,unclassified_Schizoporaceae
otu2908,unidentified_101
otu1586,Sistotrema
otu2137,Pterula
otu2007,Rigidoporus
otu1020,unidentified_3498
otu2156,unidentified
otu2915,Kazachstania
otu3277,Kazachstania
otu1309,unidentified
otu2719,Hanseniaspora
otu2958,unidentified
otu1886,unidentified
otu2914,Kazachstania
otu860,unidentified
otu2822,unidentified
otu3448,Candida
otu278,Candida
otu646,Candida
otu2835,unidentified
otu3312,unidentified
otu2495,unidentified
otu1785,unidentified
otu2176,unidentified
otu2648,unidentified
otu2342,unidentified
otu2952,unidentified
otu570,Aspergillus
otu2453,unidentified
otu317,Byssomerulius
otu2136,unidentified
otu3162,unidentified
otu300,Tomentella
otu332,Articulospora
otu1177,Sarocladium
otu797,Blumeria
otu2091,Blumeria
otu250,unidentified
otu598,unidentified
otu498,Acidea
otu55,Acidea
otu435,Acidea
otu400,Acidea
otu890,Scleroconidioma
otu727,unclassified_Herpotrichiellaceae
otu794,Exophiala
otu377,Rhinocladiella
otu2217,Rhinocladiella
otu323,unclassified_Pleosporaceae
otu1030,unidentified_82
otu426,unidentified_82
otu1006,unidentified_82
otu2729,unidentified
otu1300,unidentified_2091
otu1354,Ampelomyces
otu682,unidentified_910
otu1159,unidentified
otu1405,unidentified_82
otu629,Phaeosphaeria
otu723,unidentified
otu1276,unclassified_Didymellaceae
otu1204,Didymella
otu96,Didymella
otu370,Didymella
otu715,unidentified
otu1664,unidentified
otu790,Didymella
otu1274,Didymella
otu177,unclassified_Didymellaceae
otu262,unclassified_Didymellaceae
otu1661,Pleiochaeta
otu337,unidentified
otu458,unidentified
otu1019,Bipolaris
otu832,Curvularia
otu1240,Curvularia
otu1490,Curvularia
otu588,unclassified_Pleosporaceae
otu784,Corynespora
otu717,unidentified
otu3681,unidentified_82
otu1419,Coniosporium
otu615,unidentified
otu1146,unidentified
otu161,Aureobasidium
otu2718,unclassified_Aureobasidiaceae
otu3402,unclassified_Aureobasidiaceae
otu1598,Tomentella
otu82,Cladosporium
otu1152,unidentified
otu643,Ramularia
otu1455,Ramularia
otu905,Neodevriesia
otu1003,Capnobotryella
otu1261,Toxicocladosporium
otu389,Cladosporium
otu216,Cladosporium
otu757,Cladosporium
otu117,Cladosporium
otu2721,unidentified
otu1932,unidentified
otu381,Cladosporium
otu20,Cladosporium
otu528,Cladosporium
otu419,unclassified_Teratosphaeriaceae
otu566,Tomentella
otu325,Cladosporium
otu232,Cladosporium
otu1157,Talaromyces
otu471,Aspergillus
otu214,unclassified_Aspergillaceae
otu371,unclassified_Aspergillaceae
otu147,Xeromyces
otu3363,Xeromyces
otu326,Xeromyces
otu465,Aspergillus
otu495,Aspergillus
otu1286,Aspergillus
otu1920,unidentified
otu474,Acremonium
otu1049,Plectosphaerella
otu1348,Colletotrichum
otu324,unidentified
otu1553,Acremonium
otu1266,Acremonium
otu1295,unclassified_Nectriaceae
otu1534,Trichoderma
otu1270,Trichoderma
otu329,Trichoderma
otu725,Trichoderma
otu1186,Trichoderma
otu1853,Chaetosphaeria
otu732,unidentified_50
otu386,Chaetosphaeria
otu305,Gibberella
otu538,Gibberella
otu100,Fusarium
otu2521,Fusarium
otu1288,unidentified
otu411,Pseudallescheria
otu1323,unidentified_52
otu961,unidentified
otu551,Microdochium
otu968,Microdochium
otu2011,Ceratocystis
otu3680,unidentified
otu1382,Coniella
otu636,unidentified_304
otu1259,Knufia
otu1680,Knufia
otu2717,Candida
otu1890,unidentified
otu113,Candida
otu19,Candida
otu158,Candida
otu722,Candida
otu1571,Meira
otu2641,unidentified
otu2777,Penicillium
otu688,Penicillium
otu196,Penicillium
otu666,Penicillium
otu423,Penicillium
otu41,Talaromyces
otu84,Penicillium
otu806,Penicillium
otu945,Penicillium
otu2691,Penicillium
otu2829,unclassified_Aspergillaceae
otu3389,unclassified_Ustilaginaceae
otu2840,Kazachstania
otu1343,unidentified
otu1071,unclassified_Aspergillaceae
otu336,Chaetosphaeria
otu508,Diaporthe
otu835,Alnecium
otu685,unidentified
otu42,Candida
otu1574,Candida
otu229,Candida
otu2626,Saccharomyces
otu3123,Saccharomyces
otu1764,Saccharomyces
otu2045,Saccharomyces
otu3444,Saccharomyces
otu3679,Cladosporium
